id,kernel,gamma,alpha,degree,scale_type,fit_time,total_time,mre
1,None,None,None,None,standard,3.2667675018310547,3.3622827529907227,0.007542607
2,rbf,1e-05,0.001,None,standard,3.4529926776885986,3.797043800354004,0.24193591
3,rbf,1e-05,1,None,standard,3.4680161476135254,3.8051950931549072,0.2527041
4,None,None,None,None,standard,9.758670568466187,9.852174997329712,0.0034253155
5,None,None,None,None,standard,3.245450735092163,3.336472749710083,0.007542595
6,None,None,None,None,standard,10.188681602478027,10.280704259872437,0.0034287162
7,None,None,None,None,standard,2.9660677909851074,3.0610709190368652,0.0075426474
8,None,None,None,None,standard,8.877150774002075,8.972349166870117,0.003575187
9,None,None,None,None,standard,9.691123962402344,9.788066387176514,0.003425301
10,None,None,None,None,minmax,9.309650421142578,9.406162977218628,0.0030522458
11,None,None,None,None,standard,9.577792406082153,9.677802801132202,0.0034252668
12,None,None,None,None,standard,9.639466524124146,9.739129066467285,0.0034252487
13,None,None,None,None,standard,9.695262908935547,9.786779642105103,0.0034252119
14,None,None,None,None,standard,9.369298934936523,9.460296630859375,0.0034252452
15,None,None,None,None,minmax,8.869139671325684,8.962867259979248,0.0030522274
